Category,Sub-category,Sub-sub-category,Name,Readable Name,Readable Name (FR),# of bytes,Byte 1,Byte 2,Variable R/W status,Type,Argument(s) type(s) & value(s),Return type & value,Comments,Description
,,,L\u2081,L₁,L₁,2,5D,0,Read/Write,Variable,,,,
,,,L\u2082,L₂,L₂,2,5D,1,Read/Write,Variable,,,,
,,,L\u2083,L₃,L₃,2,5D,2,Read/Write,Variable,,,,
,,,L\u2084,L₄,L₄,2,5D,3,Read/Write,Variable,,,,
,,,L\u2085,L₅,L₅,2,5D,4,Read/Write,Variable,,,,
,,,L\u2086,L₆,L₆,2,5D,5,Read/Write,Variable,,,,
,,,Y\u2081,Y₁,Y₁,2,5E,10,Read/Write,Variable,,,,
,,,Y\u2082,Y₂,Y₂,2,5E,11,Read/Write,Variable,,,,
,,,Y\u2083,Y₃,Y₃,2,5E,12,Read/Write,Variable,,,,
,,,Y\u2084,Y₄,Y₄,2,5E,13,Read/Write,Variable,,,,
,,,Y\u2085,Y₅,Y₅,2,5E,14,Read/Write,Variable,,,,
,,,Y\u2086,Y₆,Y₆,2,5E,15,Read/Write,Variable,,,,
,,,Y\u2087,Y₇,Y₇,2,5E,16,Read/Write,Variable,,,,
,,,Y\u2088,Y₈,Y₈,2,5E,17,Read/Write,Variable,,,,
,,,Y\u2089,Y₉,Y₉,2,5E,18,Read/Write,Variable,,,,
,,,Y\u2080,Y₀,Y₀,2,5E,19,Read/Write,Variable,,,,
,,,X\u2081\uf038,X₁ᴛ,X₁ᴛ,2,5E,20,Read/Write,Variable,,,,
,,,Y\u2081\uf038,Y₁ᴛ,Y₁ᴛ,2,5E,21,Read/Write,Variable,,,,
,,,X\u2082\uf038,X₂ᴛ,X₂ᴛ,2,5E,22,Read/Write,Variable,,,,
,,,Y\u2082\uf038,Y₂ᴛ,Y₂ᴛ,2,5E,23,Read/Write,Variable,,,,
,,,X\u2083\uf038,X₃ᴛ,X₃ᴛ,2,5E,24,Read/Write,Variable,,,,
,,,Y\u2083\uf038,Y₃ᴛ,Y₃ᴛ,2,5E,25,Read/Write,Variable,,,,
,,,X\u2084\uf038,X₄ᴛ,X₄ᴛ,2,5E,26,Read/Write,Variable,,,,
,,,Y\u2084\uf038,Y₄ᴛ,Y₄ᴛ,2,5E,27,Read/Write,Variable,,,,
,,,X\u2085\uf038,X₅ᴛ,X₅ᴛ,2,5E,28,Read/Write,Variable,,,,
,,,Y\u2085\uf038,Y₅ᴛ,Y₅ᴛ,2,5E,29,Read/Write,Variable,,,,
,,,X\u2086\uf038,X₆ᴛ,X₆ᴛ,2,5E,2A,Read/Write,Variable,,,,
,,,Y\u2086\uf038,Y₆ᴛ,Y₆ᴛ,2,5E,2B,Read/Write,Variable,,,,
,,,r\u2081,r₁,r₁,2,5E,40,Read/Write,Variable,,,,
,,,r\u2082,r₂,r₂,2,5E,41,Read/Write,Variable,,,,
,,,r\u2083,r₃,r₃,2,5E,42,Read/Write,Variable,,,,
,,,r\u2084,r₄,r₄,2,5E,43,Read/Write,Variable,,,,
,,,r\u2085,r₅,r₅,2,5E,44,Read/Write,Variable,,,,
,,,r\u2086,r₆,r₆,2,5E,45,Read/Write,Variable,,,,
,,,u,|u,|u,2,5E,80,Read/Write,Variable,,,,
,,,v,|v,|v,2,5E,81,Read/Write,Variable,,,,
,,,w,|w,|w,2,5E,82,Read/Write,Variable,,,,
,,,prgm,prgm,prgm,1,5F,,,Other,,,,
,,,Pic1,Pic1,Img1,2,60,0,Read/Write,Variable,,,,
,,,Pic2,Pic2,Img2,2,60,1,Read/Write,Variable,,,,
,,,Pic3,Pic3,Img3,2,60,2,Read/Write,Variable,,,,
,,,Pic4,Pic4,Img4,2,60,3,Read/Write,Variable,,,,
,,,Pic5,Pic5,Img5,2,60,4,Read/Write,Variable,,,,
,,,Pic6,Pic6,Img6,2,60,5,Read/Write,Variable,,,,
,,,Pic7,Pic7,Img7,2,60,6,Read/Write,Variable,,,,
,,,Pic8,Pic8,Img8,2,60,7,Read/Write,Variable,,,,
,,,Pic9,Pic9,Img9,2,60,8,Read/Write,Variable,,,,
,,,Pic0,Pic0,Img0,2,60,9,Read/Write,Variable,,,,
,,,GDB1,GDB1,BDG1,2,61,0,Read/Write,Variable,,,,
,,,GDB2,GDB2,BDG2,2,61,1,Read/Write,Variable,,,,
,,,GDB3,GDB3,BDG3,2,61,2,Read/Write,Variable,,,,
,,,GDB4,GDB4,BDG4,2,61,3,Read/Write,Variable,,,,
,,,GDB5,GDB5,BDG5,2,61,4,Read/Write,Variable,,,,
,,,GDB6,GDB6,BDG6,2,61,5,Read/Write,Variable,,,,
,,,GDB7,GDB7,BDG7,2,61,6,Read/Write,Variable,,,,
,,,GDB8,GDB8,BDG8,2,61,7,Read/Write,Variable,,,,
,,,GDB9,GDB9,BDG9,2,61,8,Read/Write,Variable,,,,
,,,GDB0,GDB0,BDG0,2,61,9,Read/Write,Variable,,,,
,,,RegEQ,RegEQ,RegEQ,2,62,1,Read-only,Variable,,,,
,,,n,n,n,2,62,2,Read-only,Variable,,,,
,,,\uf003,ẋ,ẋ,2,62,3,Read-only,Variable,,,,
,,,\u03a3x,Σx,Σx,2,62,4,Read-only,Variable,,,,
,,,\u03a3x\u00b2,Σx²,Σx²,2,62,5,Read-only,Variable,,,,
,,,Sx,[Sx],[Sx],2,62,6,Read-only,Variable,,,,
,,,\u03c3x,σx,σx,2,62,7,Read-only,Variable,,,,
,,,minX,[minX],[minX],2,62,8,Read-only,Variable,,,,
,,,maxX,[maxX],[maxX],2,62,9,Read-only,Variable,,,,
,,,minY,[minY],[minY],2,62,0A,Read-only,Variable,,,,
,,,maxY,[maxY],[maxY],2,62,0B,Read-only,Variable,,,,
,,,\uf004,ȳ,ȳ,2,62,0C,Read-only,Variable,,,,
,,,\u03a3y,Σy,Σy,2,62,0D,Read-only,Variable,,,,
,,,\u03a3y\u00b2,Σy²,Σy²,2,62,0E,Read-only,Variable,,,,
,,,Sy,[Sy],[Sy],2,62,0F,Read-only,Variable,,,,
,,,\u03c3y,σy,σy,2,62,10,Read-only,Variable,,,,
,,,\u03a3xy,Σxy,Σxy,2,62,11,Read-only,Variable,,,,
,,,r,[r],[r],2,62,12,Read-only,Variable,,,,
,,,Med,[Med],[Med],2,62,13,Read-only,Variable,,,,
,,,Q\u2081,[Q1],[Q1],2,62,14,Read-only,Variable,,,,
,,,Q\u2083,[Q3],[Q3],2,62,15,Read-only,Variable,,,,
,,,a,[|a],[|a],2,62,16,Read-only,Variable,,,,
,,,b,[|b],[|b],2,62,17,Read-only,Variable,,,,
,,,c,[|c],[|c],2,62,18,Read-only,Variable,,,,
,,,d,[|d],[|d],2,62,19,Read-only,Variable,,,,
,,,e,[|e],[|e],2,62,1A,Read-only,Variable,,,,
,,,x\u2081,x₁,x₁,2,62,1B,Read-only,Variable,,,,
,,,x\u2082,x₂,x₂,2,62,1C,Read-only,Variable,,,,
,,,x\u2083,x₃,x₃,2,62,1D,Read-only,Variable,,,,
,,,y\u2081,y₁,y₁,2,62,1E,Read-only,Variable,,,,
,,,y\u2082,y₂,y₂,2,62,1F,Read-only,Variable,,,,
,,,y\u2083,y₃,y₃,2,62,20,Read-only,Variable,,,,
,,,\uf00e,[recursiven],[recursiven],2,62,21,Read-only,Variable,,,,
,,,p,[p],[p],2,62,22,Read-only,Variable,,,,
,,,z,[z],[z],2,62,23,Read-only,Variable,,,,
,,,t,[t],[t],2,62,24,Read-only,Variable,,,,
,,,\u03c7\u00b2,χ²,χ²,2,62,25,Read-only,Variable,,,,
,,,\uf021,[|F],[|F],2,62,26,Read-only,Variable,,,,
,,,df,[df],[df],2,62,27,Read-only,Variable,,,,
,,,\uf022,[ṗ],[ṗ],2,62,28,Read-only,Variable,,,,
,,,\uf022\u2081,ṗ₁,ṗ₁,2,62,29,Read-only,Variable,,,,
,,,\uf022\u2082,ṗ₂,ṗ₂,2,62,2A,Read-only,Variable,,,,
,,,\uf003\u2081,ẋ₁,ẋ₁,2,62,2B,Read-only,Variable,,,,
,,,Sx\u2081,Sx₁,Sx₁,2,62,2C,Read-only,Variable,,,,
,,,n\u2081,n₁,n₁,2,62,2D,Read-only,Variable,,,,
,,,\uf003\u2082,ẋ₂,ẋ₂,2,62,2E,Read-only,Variable,,,,
,,,Sx\u2082,Sx₂,Sx₂,2,62,2F,Read-only,Variable,,,,
,,,n\u2082,n₂,n₂,2,62,30,Read-only,Variable,,,,
,,,Sxp,[Sxp],[Sxp],2,62,31,Read-only,Variable,,,,
,,,lower,[lower],[lower],2,62,32,Read-only,Variable,,,,
,,,upper,[upper],[upper],2,62,33,Read-only,Variable,,,,
,,,s,[s],[s],2,62,34,Read-only,Variable,,,,
,,,r\u00b2,r²,r²,2,62,35,Read-only,Variable,,,,
,,,R\u00b2,R²,R²,2,62,36,Read-only,Variable,,,,
,,,[factordf],[factordf],[factordf],2,62,37,,Text/Symbol only,,,,
,,,[factorSS],[factorSS],[factorSS],2,62,38,,Text/Symbol only,,,,
,,,[factorMS],[factorMS],[factorMS],2,62,39,,Text/Symbol only,,,,
,,,[errordf],[errordf],[errordf],2,62,3A,,Text/Symbol only,,,,
,,,[errorSS],[errorSS],[errorSS],2,62,3B,,Text/Symbol only,,,,
,,,[errorMS],[errorMS],[errorMS],2,62,3C,,Text/Symbol only,,,,
,,,ZXscl,ZXscl,ZXscl,2,63,0,Read/Write,Variable,,,,
,,,ZYscl,ZYscl,ZYscl,2,63,1,Read/Write,Variable,,,,
,,,Xscl,Xscl,Xscl,2,63,2,Read/Write,Variable,,,,
,,,Yscl,Yscl,Yscl,2,63,3,Read/Write,Variable,,,,
,,,u(\uf00eMin),u(nMin),u(nMin),2,63,4,Read/Write,Variable,,,,
,,,v(\uf00eMin),v(nMin),v(nMin),2,63,5,Read/Write,Variable,,,,
,,,Un-₁,Un-₁,Un-₁,2,63,6,Read/Write,Variable,,,,
,,,Vn-₁,Vn-₁,Vn-₁,2,63,7,Read/Write,Variable,,,,
,,,Zu(\uf00eMin),Zu(nmin),Zu(nmin),2,63,8,Read/Write,Variable,,,,
,,,Zv(\uf00eMin),Zv(nmin),Zv(nmin),2,63,9,Read/Write,Variable,,,,
,,,Xmin,Xmin,Xmin,2,63,0A,Read/Write,Variable,,,,
,,,Xmax,Xmax,Xmax,2,63,0B,Read/Write,Variable,,,,
,,,Ymin,Ymin,Ymin,2,63,0C,Read/Write,Variable,,,,
,,,Ymax,Ymax,Ymax,2,63,0D,Read/Write,Variable,,,,
,,,Tmin,Tmin,Tmin,2,63,0E,Read/Write,Variable,,,,
,,,Tmax,Tmax,Tmax,2,63,0F,Read/Write,Variable,,,,
,,,\u03b8min,θMin,θMin,2,63,10,Read/Write,Variable,,,,
,,,\u03b8max,θMax,θMax,2,63,11,Read/Write,Variable,,,,
,,,ZXmin,ZXmin,ZXmin,2,63,12,Read/Write,Variable,,,,
,,,ZXmax,ZXmax,ZXmax,2,63,13,Read/Write,Variable,,,,
,,,ZYmin,ZYmin,ZYmin,2,63,14,Read/Write,Variable,,,,
,,,ZYmax,ZYmax,ZYmax,2,63,15,Read/Write,Variable,,,,
,,,Z\u03b8min,Zθmin,Zθmin,2,63,16,Read/Write,Variable,,,,
,,,Z\u03b8max,Zθmax,Zθmax,2,63,17,Read/Write,Variable,,,,
,,,ZTmin,ZTmin,ZTmin,2,63,18,Read/Write,Variable,,,,
,,,ZTmax,ZTmax,ZTmax,2,63,19,Read/Write,Variable,,,,
,,,TblStart,TblStart,TblStart,2,63,1A,Read/Write,Variable,,,,
,,,PlotStart,PlotStart,PlotStart,2,63,1B,Read/Write,Variable,,,,
,,,ZPlotStart,ZPlotStart,ZPlotStart,2,63,1C,Read/Write,Variable,,,,
,,,\uf00eMax,nMax,nMax,2,63,1D,Read/Write,Variable,,,,
,,,Z\uf00eMax,ZnMax,ZnMax,2,63,1E,Read/Write,Variable,,,,
,,,\uf00eMin,nMin,nMin,2,63,1F,Read/Write,Variable,,,,
,,,Z\uf00eMin,ZnMin,ZnMin,2,63,20,Read/Write,Variable,,,,
,,,\uf024Tbl,∆Tbl,∆Tbl,2,63,21,Read/Write,Variable,,,,
,,,Tstep,Tstep,Tstep,2,63,22,Read/Write,Variable,,,,
,,,\u03b8step,θstep,θstep,2,63,23,Read/Write,Variable,,,,
,,,ZTstep,ZTstep,ZTstep,2,63,24,Read/Write,Variable,,,,
,,,Z\u03b8step,Zθstep,Zθstep,2,63,25,Read/Write,Variable,,,,
,,,\uf024X,∆X,∆X,2,63,26,Read/Write,Variable,,,,
,,,\uf024Y,∆Y,∆Y,2,63,27,Read/Write,Variable,,,,
,,,XFact,XFact,XFact,2,63,28,Read/Write,Variable,,,,
,,,YFact,YFact,YFact,2,63,29,Read/Write,Variable,,,,
,,,TblInput,TblInput,TblInput,2,63,2A,Read/Write,Variable,list,,,
,,,\u015a,|N,|N,2,63,2B,Read/Write,Variable,,,,
,,,I%,I%,I%,2,63,2C,Read/Write,Variable,,,,
,,,PV,PV,PV,2,63,2D,Read/Write,Variable,,,,
,,,PMT,PMT,PMT,2,63,2E,Read/Write,Variable,,,,
,,,FV,FV,FV,2,63,2F,Read/Write,Variable,,,,
,,,P/Y,|P/Y,|P/Y,2,63,30,Read/Write,Variable,,,,
,,,C/Y,|C/Y,|C/Y,2,63,31,Read/Write,Variable,,,,
,,,w(\uf00eMin),w(nMin),w(nMin),2,63,32,Read/Write,Variable,,,,
,,,Zw(\uf00eMin),Zw(nMin),Zw(nMin),2,63,33,Read/Write,Variable,,,,
,,,PlotStep,PlotStep,GraphPas,2,63,34,Read/Write,Variable,,,,
,,,ZPlotStep,ZPlotStep,ZgraphPas,2,63,35,Read/Write,Variable,,,,
,,,Xres,Xres,Xres,2,63,36,Read/Write,Variable,,,,
,,,ZXres,ZXres,ZXres,2,63,37,Read/Write,Variable,,,,
,,,TraceStep,TraceStep,TracePas,2,63,38,Read/Write,Variable,,,,
,,,Radian,Radian,Radian,1,64,,,Action,,,,
,,,Degree,Degree,Degré,1,65,,,Action,,,,
,,,Normal,Normal,Normal,1,66,,,Action,,,,
,,,Sci,Sci,Sci,1,67,,,Action,,,,
,,,Eng,Eng,Ing,1,68,,,Action,,,,
,,,Float,Float,Flottant,1,69,,,Action,,,,
,,,=,=,=,1,6A,,,Infix operator,,,,
,,,<,<,<,1,6B,,,Infix operator,,,,
,,,>,>,>,1,6C,,,Infix operator,,,,
,,,\u2264,≤,≤,1,6D,,,Infix operator,,,,
,,,\u2265,≥,≥,1,6E,,,Infix operator,,,,
,,,\u2260,≠,≠,1,6F,,,Infix operator,,,,
,,,+,+,+,1,70,,,Infix operator,,,,
,,,-,-,-,1,71,,,Infix operator,,,,
,,,Ans,Ans,Rep,1,72,,Read-only,Variable,,,,
,,,Fix ,Fix ,Fixe ,1,73,,,Function,,,,
,,,Horiz,Horiz,Horiz,1,74,,,Action,,,,
,,,Full,Full,PleinEcr,1,75,,,Action,,,,
,,,Func,Func,Fonct,1,76,,,Action,,,,
,,,Param,Param,Param,1,77,,,Action,,,,
,,,Polar,Polar,Polaire,1,78,,,Action,,,,
,,,Seq,Seq,Suite,1,79,,,Action,,,,
,,,IndpntAuto,IndpntAuto,ValeursAuto,1,7A,,,Action,,,,
,,,IndpntAsk,IndpntAsk,ValeursDem,1,7B,,,Action,,,,
,,,DependAuto,DependAuto,CalculsAuto,1,7C,,,Action,,,,
,,,DependAsk,DependAsk,CalculsDem,1,7D,,,Action,,,,
,,,Sequential,Sequential,Séquentiel,2,7E,0,,Action,,,,
,,,Simul,Simul,Simul,2,7E,1,,Action,,,,
,,,PolarGC,PolarGC,CoordPol,2,7E,2,,Action,,,,
,,,RectGC,RectGC,CoordRect,2,7E,3,,Action,,,,
,,,CoordOn,CoordOn,CoordAff,2,7E,4,,Action,,,,
,,,CoordOff,CoordOff,CoordNAff,2,7E,5,,Action,,,,
,,,Connected,Connected,Relié,2,7E,6,,Action,,,,
,,,Thick,Thick,Thick,2,7E,6,,Action,,,Alias ?,
,,,Dot,Dot,NonRelié,2,7E,7,,Action,,,,
,,,Dot-Thick,Dot-Thick,Dot-Thick,2,7E,7,,Action,,,Alias ?,
,,,AxesOn ,AxesOn ,AxesAff ,2,7E,8,,Action,,,,
,,,AxesOff,AxesOff,AxesNAff,2,7E,9,,Action,,,,
,,,GridDot ,GridDot ,GridDot ,2,7E,0A,,Action,,,,
,,,GridOn,GridOn,QuadAff,2,7E,0A,,Action,,,,
,,,GridOff,GridOff,QuadNAff,2,7E,0B,,Action,,,,
,,,LabelOn,LabelOn,EtiqAff,2,7E,0C,,Action,,,,
,,,LabelOff,LabelOff,EtiqNAff,2,7E,0D,,Action,,,,
,,,Web,Web,Toile,2,7E,0E,,Action,,,,
,,,Time,Time,f(n),2,7E,0F,,Action,,,,
,,,uvAxes,uvAxes,uvAxes,2,7E,10,,Action,,,,
,,,vwAxes,vwAxes,vwAxes,2,7E,11,,Action,,,,
,,,uwAxes,uwAxes,uwAxes,2,7E,12,,Action,,,,
,,,Graph Format,Graph Format,Graph Format,1,7E,,,Other,,,,
,,,\u25ab,□,□,1,7F,,,Text/Symbol only,,,,
,,,\u207a,﹢,﹢,1,80,,,Text/Symbol only,,,,
,,,\u2022,·,·,1,81,,,Text/Symbol only,,,,
,,,*,*,*,1,82,,,Infix operator,,,,
,,,/,/,/,1,83,,,Infix operator,,,,
,,,Trace,Trace,Trace,1,84,,,Action,,,,
,,,ClrDraw,ClrDraw,EffDessin,1,85,,,Action,,,,
,,,ZStandard,ZStandard,ZStandard,1,86,,,Action,,,,
,,,ZTrig,ZTrig,ZTrig,1,87,,,Action,,,,
,,,ZBox,ZBox,Zboîte,1,88,,,Action,,,,
,,,Zoom In,Zoom In,Zoom +,1,89,,,Action,,,,
,,,Zoom Out,Zoom Out,Zoom -,1,8A,,,Action,,,,
,,,ZSquare,ZSquare,Zorthonormal,1,8B,,,Action,,,,
,,,ZInteger,ZInteger,ZintConf,1,8C,,,Action,,,,
,,,ZPrevious,ZPrevious,Zprécédent,1,8D,,,Action,,,,
,,,ZDecimal,ZDecimal,Zdécimal,1,8E,,,Action,,,,
,,,ZoomStat,ZoomStat,ZoomStat,1,8F,,,Action,,,,
,,,ZoomRcl,ZoomRcl,ZoomRpl,1,90,,,Action,,,,
,,,PrintScreen,PrintScreen,PrintScreen,1,91,,,Action,,,Not available (only token),
,,,ZoomSto,ZoomSto,SauveFen,1,92,,,Action,,,,
,,,Text(,Text(,Texte(,1,93,,,Function,,,,
,,, nPr , nPr , Arrangement,1,94,,,Infix operator,,,,
,,, nCr , nCr ,Combinaison ,1,95,,,Infix operator,,,,
,,,FnOn ,FnOn ,FonctAff ,1,96,,,Function,,,,
,,,FnOff ,FnOff ,FonctNAff ,1,97,,,Function,,,,
,,,StorePic ,StorePic ,SauveImage ,1,98,,,Function,,,,
,,,RecallPic ,RecallPic ,RappelImage ,1,99,,,Function,,,,
,,,StoreGDB ,StoreGDB ,SauveBDG ,1,9A,,,Function,,,,
,,,RecallGDB ,RecallGDB ,RappelBDG ,1,9B,,,Function,,,,
,,,Line(,Line(,Ligne(,1,9C,,,Function,,,,
,,,Vertical ,Vertical ,Verticale ,1,9D,,,Function,,,,
,,,Pt-On(,Pt-On(,Pt-Aff(,1,9E,,,Function,,,,
,,,Pt-Off(,Pt-Off(,Pt-Naff(,1,9F,,,Function,,,,
,,,Pt-Change(,Pt-Change(,Pt-Change(,1,A0,,,Function,,,,
,,,Pxl-On(,Pxl-On(,Pxl-Aff(,1,A1,,,Function,,,,
,,,Pxl-Off(,Pxl-Off(,Pxl-Naff(,1,A2,,,Function,,,,
,,,Pxl-Change(,Pxl-Change(,Pxl-Change(,1,A3,,,Function,,,,
,,,Shade(,Shade(,Ombre(,1,A4,,,Function,,,,
,,,Circle(,Circle(,Cercle(,1,A5,,,Function,,,,
,,,Horizontal ,Horizontal ,Horizontale ,1,A6,,,Function,,,,
,,,Tangent(,Tangent(,Tangente(,1,A7,,,Function,,,,
,,,DrawInv ,DrawInv ,DessRecip ,1,A8,,,Function,,,,
,,,DrawF ,DrawF ,DessFonct ,1,A9,,,Function,,,,
,,,Str1,Str1,Chaine1,2,AA,0,Read/Write,Variable,,,,
,,,Str2,Str2,Chaine2,2,AA,1,Read/Write,Variable,,,,
,,,Str3,Str3,Chaine3,2,AA,2,Read/Write,Variable,,,,
,,,Str4,Str4,Chaine4,2,AA,3,Read/Write,Variable,,,,
,,,Str5,Str5,Chaine5,2,AA,4,Read/Write,Variable,,,,
,,,Str6,Str6,Chaine6,2,AA,5,Read/Write,Variable,,,,
,,,Str7,Str7,Chaine7,2,AA,6,Read/Write,Variable,,,,
,,,Str8,Str8,Chaine8,2,AA,7,Read/Write,Variable,,,,
,,,Str9,Str9,Chaine9,2,AA,8,Read/Write,Variable,,,,
,,,Str0,Str0,Chaine0,2,AA,9,Read/Write,Variable,,,,
,,,VARSTRING,VARSTRING,VARSTRING,1,AA,,,Other,,,,
,,,rand,rand,NbrAléat,1,AB,,,Function,None,,,
,,,\u03c0,π,π,1,AC,,Read-only,Constant,,,,
,,,getKey,getKey,codetouch(,1,AD,,,Function,None,,,
,,,',',',1,AE,,,Text/Symbol only,,,,
,,,?,?,?,1,AF,,,Text/Symbol only,,,,
,,,\u00ad,⁻,⁻,1,B0,,,Text/Symbol only,,,,
,,,int(,int(,partEnt(,1,B1,,,Function,,,,
